First,Last
Michael,Bunting
Josh,Mahura
Casey,Fitzgerald
Marc-Edouard,Vlasic
Derek,Forbort
Shane,Wright
Ilya,Lyubushkin
Trevor,van Riemsdyk
Ryan,Carpenter
Bowen,Byram
Kaiden,Guhle
Ryan,McDonagh
Pavol,Regenda
Mikhail,Sergachev
Jonas,Brodin
Jan,Rutta
Joe,Snively
Nick,Bonino
Kyle,Connor
Jonathan,Huberdeau
Kent,Johnson
Barclay,Goodrow
Frederick,Gaudreau
Axel,Jonsson-Fjallby
Nate,Schmidt
Carl,Grundstrom
Niko,Mikkola
Jack,Johnson
Andrew,Mangiapane
Nicholas,Robertson
Jonathan,Drouin
Jordan,Harris
Mark,Giordano
Ben,Hutton
Dawson,Mercer
Radko,Gudas
Jesse,Puljujarvi
Danton,Heinen
Johnathan,Kovacevic
Matt,Boldy
K'Andre,Miller
Nicolas,Aube-Kubel
Yegor,Chinakhov
Kyle,Okposo
Marcus,Foligno
Trevor,Zegras
Brad,Malone
Parker,Kelly
Dylan,DeMelo
Cole,Koepke
Brett,Pesce
Marcus,Johansson
Cody,Ceci
Olli,Maatta
Mason,Appleton
Christian,Dvorak
Cole,Perfetti
Nick,Foligno
Rasmus,Andersson
Nick,Cousins
David,Perron
Travis,Hamonic
Sebastian,Aho
Colin,Blackwell
David,Kampf
Anton,Blidh
Connor,Dewar
Noah,Dobson
Shea,Theodore
Nikita,Zaitsev
Caleb,Jones
Tanner,Jeannot
Victor,Olofsson
Brayden,McNabb
Drake,Batherson
Mathieu,Olivier
Mike,Hoffman
Zack,Kassian
Viktor,Arvidsson
Dante,Fabbro
Kaapo,Kakko
Ryan,Reaves
Joel,Kiviranta
Mason,Shaw
Matt,Duchene
Jacob,Trouba
Michael,McLeod
Filip,Chytil
Samuel,Girard
Nicolas,Deslauriers
David,Savard
Cole,Sillinger
Chandler,Stephenson
Elias,Lindholm
Aleksander,Barkov
Zach,Parise
Kyle,Burroughs
Owen,Tippett
Vince,Dunn
Ryan,Lindgren
Adam,Fox
Nick,Schmaltz
Alex,Killorn
Brett,Ritchie
Damon,Severson
Tomas,Nosek
